date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:04	1950935/1950935	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2018:47:30%20GMT	https://ledger-en.web.app/	C:/My%20Web%20Sites/Jago's/ledger-en.web.app/index.html	(from )
16:15:05	1304096/1304096	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2018:47:30%20GMT	https://ledger-en.web.app/robots.txt		(from )
16:15:06	212906/212906	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2018:47:30%20GMT	https://ledger-en.web.app/app/	C:/My%20Web%20Sites/Jago's/ledger-en.web.app/app/index.html	(from https://ledger-en.web.app/)
16:15:07	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/Jago's/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://ledger-en.web.app/app/)
16:15:07	25427/25427	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2018:47:30%20GMT	https://ledger-en.web.app/app/style/animation/2.6%20animate.css.css	C:/My%20Web%20Sites/Jago's/ledger-en.web.app/app/style/animation/2.6%20animate.css.css	(from https://ledger-en.web.app/app/)
16:15:11	1950935/1950935	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2018:47:30%20GMT	https://ledger-en.web.app/app/kit.fontawesome.com/78d167673c.js	C:/My%20Web%20Sites/Jago's/ledger-en.web.app/app/kit.fontawesome.com/78d167673c.html	(from https://ledger-en.web.app/app/)
16:15:31	161409/161409	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2018:47:30%20GMT	https://ledger-en.web.app/app/wallet/bootstrap.min.css	C:/My%20Web%20Sites/Jago's/ledger-en.web.app/app/wallet/bootstrap.min.css	(from https://ledger-en.web.app/app/)
16:15:51	283/283	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2018:47:30%20GMT	https://ledger-en.web.app/app/wallet/success.html	C:/My%20Web%20Sites/Jago's/ledger-en.web.app/app/wallet/success.html	(from https://ledger-en.web.app/app/)
16:16:05	1950935/1950935	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2018:47:30%20GMT	https://ledger-en.web.app/app/assets/qr.html	C:/My%20Web%20Sites/Jago's/ledger-en.web.app/app/assets/qr.html	(from https://ledger-en.web.app/app/)
16:16:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Jul%202024%2015:16:13%20GMT	http://ledger-en.web.app/app/check.html	C:/My%20Web%20Sites/Jago's/ledger-en.web.app/app/check.a.delayed	(from https://ledger-en.web.app/app/)
